#,Date,Author Name,Tweet ID,Text,Likes,Retweet Count,Views Count,Bookmark Count,Authors Followers Count,Mention Count,Tweet URL,Source,Medias,User Mentions,URLs,Hashtags,Unnamed: 17,Prediction,predicted_category,prediction_probabilities,top_1_category,top_1_probability,top_2_category,top_2_probability,top_3_category,top_3_probability
156,28.01.2025,GT Medya,1883926185488568727,"Ayşe Barım, tutuklama talebiyle sulh ceza hakimliğine sevk edildi. 

📌 Gezi Parkı eylemlerinin planlayıcısı olduğu ve oyuncuları protestolara katılmaya yönlendirdiği iddiasıyla, İstanbul Cumhuriyet Başsavcılığı'nın  soruşturması kapsamında gözaltına alınmıştı. https://t.co/J70TbBoD08",7,0,612,0,3620,0,https://twitter.com/gtmedyahaber/status/1883926185488568727,Twitter Web App,https://pbs.twimg.com/media/GiUMzN3WIAANkQV.jpg,,,,,Siyaset,Siyaset,"{'Siyaset': np.float32(0.9751874), 'Savaş': np.float32(0.01625744), 'Gündem': np.float32(0.0018355023), 'Teknoloji': np.float32(0.0014644203), 'Ekonomi': np.float32(0.0012526442), 'Afet': np.float32(0.0010665647), 'Spor': np.float32(0.0010376247), 'Kültür & Sanat': np.float32(0.00081698946), 'Eğitim': np.float32(0.00050047005), 'Bilim': np.float32(0.0003416447), 'Sağlık': np.float32(0.0002392715)}",Siyaset,0.9751874,Savaş,0.01625744,Gündem,0.0018355023
157,28.01.2025,GT Medya,1883922683668357418,"İstanbul Emniyet Müdürü Selami Yıldız, Ümraniye’de uyuşturucu ve suç örgütlerine karşı geniş çaplı bir operasyon başlattı.

📌Yapılan baskınlar sonucunda yüzlerce kilo uyuşturucu, çeşitli mühimmat ve çok sayıda çete üyesi ele geçirildi.
https://t.co/Mp0fv4eriu",5,0,597,0,3620,0,https://twitter.com/gtmedyahaber/status/1883922683668357418,Twitter Web App,https://pbs.twimg.com/amplify_video_thumb/1883848019646320640/img/q7S62KRGPlYElhV_.jpg,,,,,Savaş,Savaş,"{'Savaş': np.float32(0.9851215), 'Spor': np.float32(0.002727149), 'Gündem': np.float32(0.002361191), 'Teknoloji': np.float32(0.0022812688), 'Eğitim': np.float32(0.0017081214), 'Ekonomi': np.float32(0.0012759772), 'Afet': np.float32(0.0011188617), 'Siyaset': np.float32(0.0010254472), 'Kültür & Sanat': np.float32(0.00096232444), 'Sağlık': np.float32(0.0009437596), 'Bilim': np.float32(0.00047442294)}",Savaş,0.9851215,Spor,0.002727149,Gündem,0.002361191
158,28.01.2025,GT Medya,1883921922108580206,"Çin, hayvan hastalıkları nedeniyle 14 ülkeden hayvansal ürünlerin ithalatını yasakladı.

📌Yasak, koyun çiçeği, keçi çiçeği ve şap salgınları nedeniyle Gana, Nijerya, Mısır, Bulgaristan, Almanya gibi ülkeleri kapsıyor. https://t.co/BqxjVZ7lOC",3,0,331,0,3620,0,https://twitter.com/gtmedyahaber/status/1883921922108580206,Twitter Web App,https://pbs.twimg.com/media/GiUI6_HWsAA5RbN.jpg,,,,,Sağlık,Sağlık,"{'Sağlık': np.float32(0.7205418), 'Bilim': np.float32(0.14576611), 'Teknoloji': np.float32(0.03030191), 'Afet': np.float32(0.019359713), 'Kültür & Sanat': np.float32(0.01841787), 'Gündem': np.float32(0.016716957), 'Ekonomi': np.float32(0.015305237), 'Eğitim': np.float32(0.014887823), 'Spor': np.float32(0.011527403), 'Savaş': np.float32(0.0038060518), 'Siyaset': np.float32(0.003369066)}",Sağlık,0.7205418,Bilim,0.14576611,Teknoloji,0.03030191
159,28.01.2025,GT Medya,1883922023820452001,🔗Kaynak: https://t.co/0jPb5kt4Ve,0,0,242,0,3620,0,https://twitter.com/gtmedyahaber/status/1883922023820452001,Twitter Web App,,,https://www.bloomberght.com/cin-hayvansal-urun-ithalatini-yasakladi-3740156,,,Afet,Afet,"{'Afet': np.float32(0.74482113), 'Sağlık': np.float32(0.20369841), 'Kültür & Sanat': np.float32(0.0169049), 'Spor': np.float32(0.007957087), 'Teknoloji': np.float32(0.005619342), 'Bilim': np.float32(0.005524535), 'Siyaset': np.float32(0.0042330907), 'Ekonomi': np.float32(0.004132311), 'Eğitim': np.float32(0.0027607204), 'Savaş': np.float32(0.0024023554), 'Gündem': np.float32(0.0019460361)}",Afet,0.74482113,Sağlık,0.20369841,Kültür & Sanat,0.0169049
160,28.01.2025,GT Medya,1883916331709509645,"MKYK sonrası açıklamalarda bulunan AKP sözcüsü Ömer Çelik:

🗣️ Bolu’daki yangınla ilgili sorumluluğu olanların tespit edilmesi önceliğimiz. Kaybettiğimiz canları geri getiremeyiz, ancak benzer faciaların yaşanmaması için çalışacağız. https://t.co/ZoFDaIfCR2",1,0,364,0,3620,0,https://twitter.com/gtmedyahaber/status/1883916331709509645,Twitter Web App,https://pbs.twimg.com/media/GiUD0nUWUAAIJL9.jpg,,,,,Afet,Afet,"{'Afet': np.float32(0.9519748), 'Gündem': np.float32(0.023018233), 'Siyaset': np.float32(0.0071251285), 'Savaş': np.float32(0.004592456), 'Eğitim': np.float32(0.0035796044), 'Teknoloji': np.float32(0.0022325031), 'Ekonomi': np.float32(0.0019445609), 'Sağlık': np.float32(0.0017505955), 'Bilim': np.float32(0.0014079105), 'Kültür & Sanat': np.float32(0.0013981357), 'Spor': np.float32(0.00097600993)}",Afet,0.9519748,Gündem,0.023018233,Siyaset,0.0071251285
161,28.01.2025,GT Medya,1883916447157797080,🔗Kaynak: https://t.co/6kDNYk1zta,0,0,274,0,3620,0,https://twitter.com/gtmedyahaber/status/1883916447157797080,Twitter Web App,,,https://www.cnnturk.com/video/turkiye/son-dakika-haberi-ak-parti-mkykda-neler-konusuldu-omer-celikten-onemli-aciklamalar-2228151,,,Afet,Afet,"{'Afet': np.float32(0.9037519), 'Sağlık': np.float32(0.07119577), 'Kültür & Sanat': np.float32(0.007127022), 'Spor': np.float32(0.0038675112), 'Teknoloji': np.float32(0.002587204), 'Ekonomi': np.float32(0.0024258464), 'Bilim': np.float32(0.0022748103), 'Eğitim': np.float32(0.0022071411), 'Siyaset': np.float32(0.002029498), 'Savaş': np.float32(0.001439466), 'Gündem': np.float32(0.0010937577)}",Afet,0.9037519,Sağlık,0.07119577,Kültür & Sanat,0.007127022
162,28.01.2025,GT Medya,1883895368519426382,"Antalya'nın Alanya ilçesinde yapımı devam eden otelde yangın çıktı.

📌İnşaatın mahsur kalan 4 işçi ekipler tarafından kurtarıldı. https://t.co/utgIGugAt2",1,0,429,0,3620,0,https://twitter.com/gtmedyahaber/status/1883895368519426382,Twitter for iPhone,https://pbs.twimg.com/media/GiTw2bVWcAACCmI.jpg,,,,,Afet,Afet,"{'Afet': np.float32(0.9891537), 'Sağlık': np.float32(0.0023625686), 'Savaş': np.float32(0.001342371), 'Kültür & Sanat': np.float32(0.0013300277), 'Teknoloji': np.float32(0.001063021), 'Ekonomi': np.float32(0.0010106663), 'Eğitim': np.float32(0.0009993805), 'Spor': np.float32(0.00087883766), 'Bilim': np.float32(0.00073603407), 'Gündem': np.float32(0.00064248836), 'Siyaset': np.float32(0.00048100334)}",Afet,0.9891537,Sağlık,0.0023625686,Savaş,0.001342371
163,28.01.2025,GT Medya,1883895373703630964,🔗 Kaynak: https://t.co/m3HIaPUJvt,0,0,279,0,3620,0,https://twitter.com/gtmedyahaber/status/1883895373703630964,Twitter for iPhone,,,https://www.cumhuriyet.com.tr/turkiye/son-dakika-12-katli-otel-insaatinda-yangin-4-isci-kurtarildi-2293486,,,Afet,Afet,"{'Afet': np.float32(0.46747017), 'Sağlık': np.float32(0.45953777), 'Kültür & Sanat': np.float32(0.020530036), 'Teknoloji': np.float32(0.012539982), 'Bilim': np.float32(0.012435105), 'Gündem': np.float32(0.007465818), 'Spor': np.float32(0.006121964), 'Ekonomi': np.float32(0.00521206), 'Siyaset': np.float32(0.0035176123), 'Eğitim': np.float32(0.0034221825), 'Savaş': np.float32(0.0017473757)}",Afet,0.46747017,Sağlık,0.45953777,Kültür & Sanat,0.020530036
166,28.01.2025,GT Medya,1883877132285399225,"Erdoğan Gençlik Kolları Kongresi’nde Gezi Parkı çıkışı yaptı. 

🗣️Bu gençlik, 3-5 ağacın yeri değiştirildi diye sokakları yakıp yıkan vandal bir gençlik değildir.
 https://t.co/SfEYL34OJv",0,0,368,0,3620,0,https://twitter.com/gtmedyahaber/status/1883877132285399225,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/1883859379818024961/pu/img/UajkrVccG4P5ys87.jpg,,,,,Gündem,Gündem,"{'Gündem': np.float32(0.915349), 'Sağlık': np.float32(0.041461073), 'Siyaset': np.float32(0.010206305), 'Eğitim': np.float32(0.007801266), 'Afet': np.float32(0.0070298896), 'Savaş': np.float32(0.005861801), 'Kültür & Sanat': np.float32(0.0044552977), 'Bilim': np.float32(0.003055206), 'Teknoloji': np.float32(0.0020483152), 'Ekonomi': np.float32(0.00148755), 'Spor': np.float32(0.0012442447)}",Gündem,0.915349,Sağlık,0.041461073,Siyaset,0.010206305
167,27.01.2025,GT Medya,1883856679969898710,"Silivri Cezaevi'nin yanındaki arsayı Zafer Partililere kiralayan arsa sahibi ifadeye çağrıldı.

📌Arsayı kiralayan mal sahibi, Tarım İlçe Müdürlüğü'nün arazinin amacı dışında kullanıldığına dair şikayette bulunması üzerine ifadeye çağrıldı. https://t.co/04zSN6HoU3",10,2,630,0,3620,0,https://twitter.com/gtmedyahaber/status/1883856679969898710,Twitter for iPhone,https://pbs.twimg.com/media/GiTNqc6WoAAi306.jpg,,,,,Afet,Afet,"{'Afet': np.float32(0.97035575), 'Siyaset': np.float32(0.010372185), 'Sağlık': np.float32(0.0064842105), 'Eğitim': np.float32(0.0027567171), 'Gündem': np.float32(0.0023477324), 'Savaş': np.float32(0.0018330206), 'Ekonomi': np.float32(0.0014130997), 'Spor': np.float32(0.0013391431), 'Teknoloji': np.float32(0.0013095455), 'Kültür & Sanat': np.float32(0.0010837775), 'Bilim': np.float32(0.0007049534)}",Afet,0.97035575,Siyaset,0.010372185,Sağlık,0.0064842105
