#,Date,Author Name,Tweet ID,Text,Likes,Retweet Count,Views Count,Bookmark Count,Authors Followers Count,Mention Count,Tweet URL,Source,Medias,User Mentions,URLs,Hashtags,Unnamed: 17,Prediction
188,02.02.2025,GT Medya,1885939283128668367,"NBA’de tarihi bir takasın gerçekleşmesi bekleniyor.

📌 Dallas Mavericks'in yıldızı Luka Dončić ile Los Angeles Lakers'ın pivotu Anthony Davis takaslanıyor.

📌 İki NBA yıldızının takasının resmileşmesi halinde Luka Dončić, LeBron James ile Los Angeles Lakers’ta birlikte oynayacak.",3,0,591,0,3618,0,https://twitter.com/gtmedyahaber/status/1885939283128668367,Twitter for iPhone,https://pbs.twimg.com/media/GiwzxyqXcAE9Wxx.jpg,,,,,Spor
189,02.02.2025,GT Medya,1885939287096467755,"🔗Kaynak:

https://t.co/aO110oErMR",0,0,360,0,3618,0,https://twitter.com/gtmedyahaber/status/1885939287096467755,Twitter for iPhone,,,https://www.sozcu.com.tr/nba-de-tarihi-takas-doncic-lakers-a-gidiyor-p135190,,,Afet
190,02.02.2025,GT Medya,1885778378906550471,"Beşar Esad’ın kuzeni Atef Najib, Suriye’nin yeni rejimi tarafından tutuklandı.

📌Suriye İç Savaşı arifesinde 2011’de gerçekleşen protestoları sert bir şekilde bastırmasıyla tanınan Najib, çocukların işkence edilmesine kadar varan ağır insan hakları ihlalleriyle suçlanıyor. https://t.co/trLF2LVzZO",1,0,515,0,3618,0,https://twitter.com/gtmedyahaber/status/1885778378906550471,Twitter Web App,https://pbs.twimg.com/media/GiuhbtoXwAEOaDI.png,,,,,Savaş
191,02.02.2025,GT Medya,1885778574986154475,Kaynak: https://t.co/6QWPtw8hPO,0,0,322,0,3618,0,https://twitter.com/gtmedyahaber/status/1885778574986154475,Twitter Web App,,,https://ground.news/article/assad-cousin-notorious-for-role-in-suppressing-protests-in-syria-arrested_e617f5,,,Afet
192,02.02.2025,GT Medya,1885778040019390670,"Şarkıcı Merve Özbey’in eşi ve emniyet müdürü gözaltına alındı.

📌 İş insanı Kenan Koçak ve Edirne Kaçakçılık ve Organize Suçlarla Mücadele Başkanlığı Emniyet Müdürü Mehmet Denir Karakurt’un yanı sıra bir yargı mensubu yurtdışına insan kaçırmakla suçlanıyor. https://t.co/tH5nrbcKNw",1,1,2075,0,3618,0,https://twitter.com/gtmedyahaber/status/1885778040019390670,Twitter Web App,https://pbs.twimg.com/media/GiuhC2WXgAIwB2n.png,,,,,Savaş
193,02.02.2025,GT Medya,1885778186580963724,Kaynak: https://t.co/jpaqQYXLQv,0,0,344,0,3618,0,https://twitter.com/gtmedyahaber/status/1885778186580963724,Twitter Web App,,,https://www.sozcu.com.tr/merve-ozbey-in-esi-ve-emniyet-muduru-gozaltina-alindi-p133134,,,Sağlık
194,02.02.2025,GT Medya,1885770162470522948,"Lvbel C5 mahlaslı rapçi Süleyman Burak Bodur’un yeni şarkısı “HavHavHav” gençlere kötü örnek olduğu gerekçesiyle CİMER'e şikâyet edildi. 

📌 Şikâyet edenler, şarkının yayından kaldırılmasını talep etti. https://t.co/ECPekwk0dj",7,0,12401,1,3618,0,https://twitter.com/gtmedyahaber/status/1885770162470522948,Twitter for iPhone,https://pbs.twimg.com/media/GiuZ9tiW4AAXKWG.jpg,,,,,Sağlık
195,02.02.2025,GT Medya,1885770168074228128,"🔗Kaynak:

https://t.co/8kprY6dj6U",0,0,708,0,3618,0,https://twitter.com/gtmedyahaber/status/1885770168074228128,Twitter for iPhone,,,https://www.haberturk.com/havhavhav-adli-sarki-cimer-e-sikyet-edildi-magazin-haberleri-3761690-magazin,,,Afet
196,02.02.2025,GT Medya,1885751838059671792,"🚨#SONDAKİKA: Yenidoğan Çetesi sanıklarından doktor İlker Gönen, Antalya’da tutuklu bulunduğu cezaevinde bileğini keserek intihar etti. 

📌 Gönen’nin intiharı üzerine cezaevi personelini hakkında soruşturma başlatıldı. https://t.co/Jbyth1dmMQ",7,0,698,0,3618,0,https://twitter.com/gtmedyahaber/status/1885751838059671792,Twitter for iPhone,https://pbs.twimg.com/media/GiuJTLZX0AATMZF.jpg,,,,SONDAKİKA,Sağlık
198,02.02.2025,GT Medya,1885747708398387697,"Gazze’de, İsrail ile Hamas arasında rehine takası gerçekleşti.

📌 Hamas, üç İsrail vatandaşını serbest bırakırken, İsrail 183 Filistinlinin Gazze’ye geri dönmesine izin verdi. https://t.co/Wa2SQBallZ",1,0,338,0,3618,0,https://twitter.com/gtmedyahaber/status/1885747708398387697,Twitter Web App,https://pbs.twimg.com/media/GiuFfTRWsAACdly.png,,,,,Sağlık
199,02.02.2025,GT Medya,1885747776073466272,Kaynak: https://t.co/77STmeTsjZ,0,0,269,0,3618,0,https://twitter.com/gtmedyahaber/status/1885747776073466272,Twitter Web App,,,https://www.reuters.com/world/middle-east/three-israeli-hostages-set-be-released-latest-gaza-exchange-2025-02-01/,,,Afet
200,02.02.2025,GT Medya,1885747423928086640,"Trump, Ukrayna’da başkanlık ve milletvekili seçimlerinin yıl sonuna kadar yeniden başlamasını istiyor.

📌 Rusya’yla 2022 yılında başlayan savaştan bu yana Ukrayna’da seçimler askıya alınmıştı. https://t.co/Tu1p4r68PN",1,0,317,0,3618,0,https://twitter.com/gtmedyahaber/status/1885747423928086640,Twitter Web App,https://pbs.twimg.com/media/GiuFRvMXYAAbj8f.png,,,,,Siyaset
201,02.02.2025,GT Medya,1885747533382627566,Kaynak: https://t.co/Jp2pTo4zz8,0,0,253,0,3618,0,https://twitter.com/gtmedyahaber/status/1885747533382627566,Twitter Web App,,,https://www.reuters.com/world/us-wants-ukraine-hold-elections-following-ceasefire-says-trump-envoy-2025-02-01/,,,Afet
202,02.02.2025,GT Medya,1885729411942555836,"MHP Genel Başkanı Bahçeli, Teğmenler Davası’nda çıkan mahkeme kararını destekledi.

🗣 TSK Disiplin Kanunu'nun amir hükümlerinin tatbikiyle ayırma cezasının muhataplarına uygulanması doğru ve isabetli bir karardır. Herkes bu karara saygı duymalıdır. Karışık, karanlık ve kaotik Türkiye şartlarını ikmal ve inşa etmek için pusuda bekleyen demokrat maskeli darbe severler aklını başına almalıdır.",1,0,360,0,3618,0,https://twitter.com/gtmedyahaber/status/1885729411942555836,Twitter Web App,https://pbs.twimg.com/media/Git04U9XEAAkqjR.jpg,,,,,Siyaset
203,02.02.2025,GT Medya,1885729536844746820,Kaynak: https://t.co/8ywmF3N23Z,0,0,270,0,3618,0,https://twitter.com/gtmedyahaber/status/1885729536844746820,Twitter Web App,,,https://www.aa.com.tr/tr/gundem/bahceli-tsk-disiplin-kanununun-amir-hukumlerinin-tatbikiyle-ayirma-cezasinin-uygulanmasi-dogru-bir-karardir/3468892,,,Afet
96,05.02.2025,GT Medya,1887123230164484254,🔗 Kaynak: https://t.co/MmKkbK9961,0,0,230,0,3617,0,https://twitter.com/gtmedyahaber/status/1887123230164484254,Twitter for iPhone,,,https://www.sozcu.com.tr/kar-yagisini-izlemek-isterken-pencereden-dustu-eski-belediye-baskani-hayatini-kaybetti-p136377,,,Sağlık
98,05.02.2025,GT Medya,1887121317259784359,🔗 Kaynak: https://t.co/zMc4Yx12gV,0,0,242,0,3617,0,https://twitter.com/gtmedyahaber/status/1887121317259784359,Twitter for iPhone,,,https://www.cumhuriyet.com.tr/turkiye/ozgur-ozel-deprem-bolgesinden-erdogana-seslendi-verilen-sozler-2296492,,,Sağlık
101,05.02.2025,GT Medya,1887091704882213050,"Dışişleri Bakanı Fidan, Bahçeli’nin Öcalan çıkışlarına dair açıklamalarda bulundu.

🗣️Sayın Bahçeli'nin kendisine gelecek tepkileri bile bile klasik siyaset dilinden ve duruşundan uzaklaşarak ülkenin genel menfaatini düşünerek ortaya koyduğu bu tavır, bence asıl milliyetçilik bu. https://t.co/8O7duKspA0",2,0,282,0,3617,0,https://twitter.com/gtmedyahaber/status/1887091704882213050,Twitter for iPhone,https://pbs.twimg.com/media/GjBL50KWIAAmZlb.jpg,,,,,Siyaset
102,05.02.2025,GT Medya,1887091803741925658,🔗 Kaynak: https://t.co/654kCPanOD,0,0,210,0,3617,0,https://twitter.com/gtmedyahaber/status/1887091803741925658,Twitter for iPhone,,,https://www.odatv.com/dunya/hakan-fidandan-devlet-bahceliye-asil-milliyetcilik-bu-tavir-120084729,,,Afet
104,05.02.2025,GT Medya,1887090428505125288,🔗 Kaynak: https://t.co/mVncGgCUkU,0,0,221,0,3617,0,https://twitter.com/gtmedyahaber/status/1887090428505125288,Twitter for iPhone,,,https://www.birgun.net/haber/grand-kartal-otel-in-sahibi-halit-ergul-un-esine-yurt-disina-cikis-yasagi-getirildi-596916,,,Sağlık
106,05.02.2025,GT Medya,1887074227909538197,"🔗Kaynak:

https://t.co/5DPRoiQrtJ",0,0,274,0,3617,0,https://twitter.com/gtmedyahaber/status/1887074227909538197,Twitter for iPhone,,,https://www.theguardian.com/technology/2025/feb/05/activists-critical-of-italian-pm-may-have-had-their-phones-targeted-by-paragon-spyware-says-whatsapp,,,Afet
107,05.02.2025,GT Medya,1887070571910795291,"İYİ Parti Genel Başkanı Müsavat Dervişoğlu, Cumhurbaşkanı Recep Tayyip Erdoğan’a yönelik dikkat çeken bir soru yöneltti:

🗣️ Sizi, terör örgütü lideri Abdullah Öcalan'ı kurtarıcı olarak görecek hale getiren hangi olaylara karıştınız, Sayın Erdoğan?
 https://t.co/qakqSgWoMi",4,0,356,0,3617,0,https://twitter.com/gtmedyahaber/status/1887070571910795291,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/1887059410851074048/pu/img/V7uJr-CnHZKaMyfC.jpg,,,,,Siyaset
116,05.02.2025,GT Medya,1886843331222602229,🔗 Kaynak: https://t.co/j8mRZXsVql,2,0,272,0,3617,0,https://twitter.com/gtmedyahaber/status/1886843331222602229,Twitter for Android,,,https://www.ekoturk.com/haberler/trabzonun-uzungoldeki-63-turizm-isletmesi-kapatildi/,,,Sağlık
117,05.02.2025,GT Medya,1886838495270068564,"Güney Afrika Maden Bakanı Gwede Mantashe:

🗣️Bir kamulaştırma yasası çıkardığımız için ABD Başkanı Trump, Güney Afrika'ya fon sağlamayı kesmekle tehdit ediyor. Bize para vermiyorlarsa, biz de onlara maden vermeyelim.

🗣️ABD madenlerimizi alıp fonlamayı keseceğini söylüyor. Hayır, kıtada sahip olduğumuz madenlerimiz var. Bizler dilenci değiliz.",5,0,480,0,3617,0,https://twitter.com/gtmedyahaber/status/1886838495270068564,Twitter for Android,https://pbs.twimg.com/media/Gi9lnFJWMAABC3K.jpg,,,,,Siyaset
119,05.02.2025,GT Medya,1886837864136061158,"Rusya Dış İstihbarat Servisi (SVR), NATO'nun, Ukrayna Devlet Başkanı Zelenski'yi itibarsızlaştırarak iktidardan uzaklaştırılmasını kolaylaştırmayı düşündüğünü iddia etti. https://t.co/CCnQMK13jM",1,0,345,0,3617,0,https://twitter.com/gtmedyahaber/status/1886837864136061158,Twitter for Android,https://pbs.twimg.com/media/Gi9lCd6XEAAf2_J.jpg,,,,,Savaş
120,05.02.2025,GT Medya,1886838088929845667,🔗 Kaynak: https://t.co/UAlv2Hq5An,0,0,263,0,3617,0,https://twitter.com/gtmedyahaber/status/1886838088929845667,Twitter for Android,,,https://www.cumhuriyet.com.tr/dunya/rus-istihbarati-nato-zelenskiyi-devirmeyi-planliyor-2296162#google_vignette,,,Sağlık
122,05.02.2025,GT Medya,1886837157895020607,🔗 Kaynak: https://t.co/VqgZLaNOxn,1,0,292,0,3617,0,https://twitter.com/gtmedyahaber/status/1886837157895020607,Twitter for Android,,,https://www.tele1.com.tr/tegmenden-sessiz-ayrilik-silah-arkadaslarimin-ihracina-tepki-icin-uniformami-cikarttim,,,Afet
123,05.02.2025,GT Medya,1886835876405084513,Türk askerinin Aden Körfezi ve Somali'deki görev süresi 1 yıl daha uzatıldı. https://t.co/X1TuDO1nGM,3,0,371,0,3617,0,https://twitter.com/gtmedyahaber/status/1886835876405084513,Twitter for Android,https://pbs.twimg.com/media/Gi9jOwGXoAAY6Gp.jpg,,,,,Savaş
125,05.02.2025,GT Medya,1886827604411322643,"TCMB, ocak ayında tüketici fiyatlarının %5,03 arttığını ve yıllık enflasyonun %42,12 seviyesine gerilediğini bildirdi. Gıda fiyatlarının %3,86 oranında artış yaşandığı belirtildi.

📌Enerji fiyatlarında değişim olmadığını, fakat hizmetler sektöründe önemli bir artış yaşandığı açıklandı.",1,0,344,0,3617,0,https://twitter.com/gtmedyahaber/status/1886827604411322643,Twitter for Android,https://pbs.twimg.com/media/Gi9btKzW4AE-9xX.jpg,,,,,Ekonomi
126,05.02.2025,GT Medya,1886827927464997226,🔗 Kaynak: https://t.co/aUULq4xTwV,0,0,264,0,3617,0,https://twitter.com/gtmedyahaber/status/1886827927464997226,Twitter for Android,,,https://www.ekoturk.com/haberler/tcmb-aylik-enflasyon-verilerini-acikladi-hizmetler-sektoru-one-cikti/,,,Afet
131,05.02.2025,GT Medya,1886823228540436713,"Rusya’nın Ukrayna’ya düzenlediği füze saldırısında 5 kişi hayatını kaybetti, 50 kişi yaralandı. https://t.co/gYMgeMf56d",2,0,333,0,3617,0,https://twitter.com/gtmedyahaber/status/1886823228540436713,Twitter for Android,https://pbs.twimg.com/media/Gi9XuefXkAAi_US.jpg,,,,,Savaş
141,05.02.2025,GT Medya,1886808036850708809,"İYİ Parti Grup Başkanvekili Turhan Çömez:

🗣️Yenidoğan Çetesi üyesi olarak yargılanan sanığın sorgusu şüpheye yer vermeyecek şekilde yapılmış mıdır? Hücresinde kalın bir urgan bulunduğu iddiası doğru mudur? Kamera kayıtlar incelenmiş midir? https://t.co/Q4QZkVXnDM",2,0,318,0,3617,0,https://twitter.com/gtmedyahaber/status/1886808036850708809,Twitter for Android,https://pbs.twimg.com/media/Gi9J6PUWMAAPFVt.jpg,,,,,Siyaset
143,05.02.2025,GT Medya,1886803388928610421,"İçişleri Bakanı Ali Yerlikaya:

🗣️Müfettişlerimiz, Bolu Belediyesi ile ilgili raporunu 28 Ocak 2025 tarihinde (7. gün), İl Özel İdaresi ile ilgili raporunu ise 31 Ocak 2025 tarihinde (10. gün) tamamladı ve Bolu Valiliğine teslim etti.

🗣️Yangında ihmali olanlar, milletimizin yüreğini yakanlar hak ettikleri cezaları çekecekler.",1,0,588,0,3617,0,https://twitter.com/gtmedyahaber/status/1886803388928610421,Twitter for Android,https://pbs.twimg.com/media/Gi9FrsdXsAAneSy.jpg,,,,,Siyaset
145,05.02.2025,GT Medya,1886795510889025641,"İstanbul Cumhuriyet Başsavcılığı, CHP’ye bugün katılan İstanbul Milletvekili Cemal Enginyurt hakkında, bugün partisinin grup toplantısında Cumhurbaşkanı'na söylediği sözlerden dolayı soruşturma başlatıldığını açıkladı. https://t.co/aAfu0buVVv",4,0,314,0,3617,0,https://twitter.com/gtmedyahaber/status/1886795510889025641,Twitter for iPhone,https://pbs.twimg.com/media/Gi8-g9yWoAAqaf7.jpg,,,,,Siyaset
150,05.02.2025,GT Medya,1886781745829437657,"YRP Genel Başkan Yardımcısı Suat Kılıç:

🗣️Terörist Öcalan’ın yapacağı çağrı, ne olursa olsun terörist başının, terörist kimliği hiçbir zaman değişmeyecektir. Affa ya da salıvermeye muhatap olması mevzubahis değildir. TBMM’ye gelmesine gerek yoktur. Yapacağı bir çağrı varsa, İmralı’dan yapabilir.",3,0,382,0,3617,0,https://twitter.com/gtmedyahaber/status/1886781745829437657,Twitter for iPhone,https://pbs.twimg.com/media/Gi8x_qNXgAAyZAt.jpg,,,,,Siyaset
155,05.02.2025,GT Medya,1886761955580342741,"CHP Genel Başkanı Özgür Özel, “Aday açıklamak için erken” tartışması hakkında konuştu:

🗣️Türkiye'nin iktidarı değiştirme yolculuğu başlamıştır. Erken seçim isteyen bir partinin seçime hazır olması gerekir. Erken seçimin adayı erken belirlenir.
 https://t.co/vZewiQVd0L",4,0,506,0,3617,0,https://twitter.com/gtmedyahaber/status/1886761955580342741,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/1886749910738849792/pu/img/F7dvDNo2z1pYFbmr.jpg,,,,,Siyaset
158,04.02.2025,GT Medya,1886753802700628010,"CHP Grubu, Tuzla Piyade Okulu'ndan ihraç edilen teğmenler ile Kara Harp Okulu mezuniyet töreninde ""Mustafa Kemal'in askerleriyiz"" sloganı attığı gerekçesiyle ihraç edilen teğmenlerin ödemeleri için çıkarılan tazminatı ödemeye karar verdi. https://t.co/NwNuecr4ZM",3,0,353,0,3617,0,https://twitter.com/gtmedyahaber/status/1886753802700628010,Twitter for iPhone,https://pbs.twimg.com/media/Gi8YlVnXsAANE0u.jpg,,,,,Savaş
160,04.02.2025,GT Medya,1886752604727718038,"CHP Genel Başkanı Özel, Cumhurbaşkanı Erdoğan’a deprem konutları sözünü hatırlattı:

🗣️Erdoğan’ın toplam yıkılan ev diye açıkladığı sayı 650.000, 2 yıl sonunda teslim edilen konut 201.000, verdiği sözün sadece %30’unu tutmuş.
 https://t.co/hkuMcr6Y4I",7,1,443,1,3617,0,https://twitter.com/gtmedyahaber/status/1886752604727718038,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/1886737360349466624/pu/img/vA61wl4dMoYo7e2M.jpg,,,,,Afet
163,04.02.2025,GT Medya,1886745703554109586,DP’den istifa eden İzmir Milletvekili Salih Uzun ve İstanbul Milletvekili Cemal Enginyurt CHP’ye katıldı. https://t.co/RLwTWzSnzc,5,0,363,0,3617,0,https://twitter.com/gtmedyahaber/status/1886745703554109586,Twitter for iPhone,"https://pbs.twimg.com/media/Gi8RN2lXYAA4zQ7.jpg,https://pbs.twimg.com/media/Gi8RN2kWwAA9gn0.jpg",,,,,Siyaset
164,04.02.2025,GT Medya,1886745845233553493,🔗Kaynak: https://t.co/kQbMt4SAO2,0,0,239,0,3617,0,https://twitter.com/gtmedyahaber/status/1886745845233553493,Twitter for iPhone,,,https://halktv.com.tr/siyaset/cemal-enginyurt-ve-salih-uzun-chpye-katiliyor-911264h,,,Afet
166,04.02.2025,GT Medya,1886671700403601453,"Kara Harp Okulu mezuniyetinde ""Mustafa Kemal’in askerleriyiz"" sloganı atan teğmenlerin ihraç gerekçesi açıklandı.

📌 Yönergeden kaldırılan Subay Andı'ndaki değerlerin dışlandığı algısını yaratacak bu eylem, TSK’yı tartışılır hale getirerek toplumda ayrışmaya neden olmuştur. (1/2)",3,0,513,0,3617,0,https://twitter.com/gtmedyahaber/status/1886671700403601453,Twitter for iPhone,https://pbs.twimg.com/media/Gi7N6DqXIAEdHFJ.jpg,,,,,Savaş
169,04.02.2025,GT Medya,1886668755150754087,Filistin ile İsrail arasındaki ateşkes kapsamında serbest bırakılan 15 esir Cumhurbaşkanı Erdoğan'ın talebi üzerine Türkiye'ye getirilecek. https://t.co/2f4JPka0ta,4,1,667,0,3617,0,https://twitter.com/gtmedyahaber/status/1886668755150754087,Twitter for iPhone,https://pbs.twimg.com/media/Gi7LOx7XgAAoc-U.jpg,,,,,Savaş
171,04.02.2025,GT Medya,1886514700034433284,"2016 yılında Fransa’da oynadığı dizide bir ajanı canlandıran ve rol gereği YPG'li kıyafeti giyen oyuncu Melisa Sözen “Terör örgütü propagandası” suçlamasıyla ifade verdi. 

📌 Melisa Sözen'in gözaltına alındığı iddiası ise İstanbul Cumhuriyet Başsavcılığı tarafından yalanlandı. https://t.co/gs1HJ72ScM",6,0,622,0,3617,0,https://twitter.com/gtmedyahaber/status/1886514700034433284,Twitter for iPhone,https://pbs.twimg.com/media/Gi4_HdCXkAASnYo.jpg,,,,,Spor
173,04.02.2025,GT Medya,1886469606044303375,"Ocak ayı enflasyon verilerini değerlendiren Hazine ve Maliye Bakanı Mehmet Şimşek, hedef doğrultusunda alınan tedbirlerle son dört yılın en düşük Ocak verisinin kaydedildiğini ifade etti. https://t.co/PMiiIPhXC3",1,0,423,0,3617,0,https://twitter.com/gtmedyahaber/status/1886469606044303375,Twitter Web App,https://pbs.twimg.com/media/Gi4WEzbWkAAxbJb.jpg,,,,,Ekonomi
